,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
dış_ politika - güvenlik,6,7,7,7,1,3,1,1
dış_ politika - güvenlik,5,5,2,2,0,1,1,1
dış_ politika - güvenlik,11,12,0,0,0,0,0,0
dış_ politika - güvenlik,62,68,70,72,2,17,4,2
dış_ politika - güvenlik,6,6,2,1,0,0,1,1
dış_ politika - güvenlik,6,5,7,5,0,5,0,0
dış_ politika - güvenlik,0,0,3,3,0,1,0,0
dış_ politika - güvenlik,0,0,0,0,0,11,0,0
dış_ politika - güvenlik,3,3,2,2,1,1,2,2
dış_ politika - güvenlik,6,7,9,12,2,7,27,10
dış_ politika - güvenlik,3,3,6,6,1,1,0,0
dış_ politika - güvenlik,5,5,0,0,0,0,0,0
dış_ politika - güvenlik,21,28,27,32,18,101,1,1
dış_ politika - güvenlik,57,58,23,31,1,8,7,5
dış_ politika - güvenlik,1,1,6,7,0,0,0,0
dış_ politika - güvenlik,0,0,0,0,3,22,0,0
dış_ politika - güvenlik,10,10,10,8,1,3,0,0
dış_ politika - güvenlik,1,1,2,12,3,12,0,0
dış_ politika - güvenlik,7,7,0,0,0,0,0,0
dış_ politika - güvenlik,1,1,2,2,0,0,0,0
dış_ politika - güvenlik,29,29,59,65,8,46,23,8
dış_ politika - güvenlik,4,4,0,0,0,2,3,3
dış_ politika - güvenlik,7,6,7,6,2,5,0,0
dış_ politika - güvenlik,6,6,1,2,0,6,2,2
dış_ politika - güvenlik,3,3,5,4,1,3,1,0
dış_ politika - güvenlik,23,30,0,2,0,4,3,2
dış_ politika - güvenlik,22,22,9,18,2,17,3,4
dış_ politika - güvenlik,4,4,3,5,0,1,0,0
dış_ politika - güvenlik,1,1,0,0,3,18,0,0
dış_ politika - güvenlik,0,0,0,0,0,0,17,2
dış_ politika - güvenlik,2,2,0,18,0,3,6,1
dış_ politika - güvenlik,0,0,5,5,0,3,0,0
dış_ politika - güvenlik,6,6,0,0,1,10,0,0
dış_ politika - güvenlik,8,8,6,5,2,3,0,0
dış_ politika - güvenlik,4,4,4,4,0,2,0,0
dış_ politika - güvenlik,2,2,7,16,0,0,6,7
dış_ politika - güvenlik,4,4,14,13,3,17,1,1
dış_ politika - güvenlik,8,10,5,5,3,14,12,11
dış_ politika - güvenlik,11,14,21,40,3,8,6,1
dış_ politika - güvenlik,5,5,2,2,1,1,0,0
dış_ politika - güvenlik,5,5,15,14,3,8,0,0
sosyal kavramlar,11,14,2,4,1,2,0,0
sosyal kavramlar,12,12,0,0,0,0,0,0
sosyal kavramlar,5,5,1,1,0,5,1,1
sosyal kavramlar,2,3,3,4,0,0,0,0
sosyal kavramlar,9,9,2,2,3,12,0,0
sosyal kavramlar,9,9,32,33,1,7,17,17
sosyal kavramlar,0,0,39,39,0,0,0,0
sosyal kavramlar,0,0,1,1,2,3,0,0
sosyal kavramlar,4,4,6,6,0,0,0,0
sosyal kavramlar,0,0,1,1,1,4,3,2
sosyal kavramlar,31,29,0,0,0,0,0,0
sosyal kavramlar,8,8,1,7,0,0,0,0
sosyal kavramlar,6,6,1,1,0,1,0,0
sosyal kavramlar,6,6,20,23,4,17,1,1
sosyal kavramlar,4,4,20,16,0,1,1,1
sosyal kavramlar,1,1,9,13,0,0,6,6
sosyal kavramlar,0,0,3,4,0,1,0,0
sosyal kavramlar,6,7,4,4,0,3,2,3
sosyal kavramlar,35,35,1,1,0,0,2,2
sosyal kavramlar,14,14,0,0,0,0,0,0
sosyal kavramlar,2,2,0,0,0,0,1,1
sosyal kavramlar,10,12,13,12,10,16,2,5
sosyal kavramlar,9,9,1,1,0,0,5,4
sosyal kavramlar,3,3,2,2,1,2,4,5
sosyal kavramlar,2,3,1,1,0,0,0,0
sosyal kavramlar,6,6,11,10,2,6,0,0
sosyal kavramlar,0,0,2,2,2,3,1,1
sosyal kavramlar,4,4,4,5,0,1,2,1
sosyal kavramlar,20,20,36,30,3,13,6,6
ekonomi,3,8,0,0,0,1,0,0
ekonomi,22,23,25,27,2,9,5,5
ekonomi,12,12,0,0,0,0,0,0
ekonomi,11,10,1,1,0,0,0,0
ekonomi,3,3,1,1,0,2,0,0
ekonomi,15,14,3,3,0,0,0,0
ekonomi,8,8,5,4,1,8,0,0
ekonomi,9,9,2,2,3,12,0,0
ekonomi,9,9,32,33,1,7,17,17
ekonomi,4,7,0,0,0,0,0,0
ekonomi,0,0,39,39,0,0,0,0
ekonomi,0,0,1,1,2,3,0,0
ekonomi,4,4,12,22,0,3,6,6
ekonomi,1,1,1,1,1,2,1,1
ekonomi,4,4,6,6,0,0,0,0
ekonomi,8,8,0,0,0,0,0,0
ekonomi,35,46,43,46,16,44,35,37
ekonomi,1,2,2,2,0,2,0,0
ekonomi,20,21,8,9,1,1,0,0
ekonomi,5,6,1,1,0,0,0,0
ekonomi,3,3,0,0,2,3,0,0
ekonomi,4,4,0,1,2,13,1,1
ekonomi,8,8,1,7,0,0,0,0
ekonomi,14,16,1,1,0,1,0,0
ekonomi,24,25,19,18,0,4,3,2
ekonomi,6,6,0,0,0,3,0,0
ekonomi,3,3,0,0,0,0,0,0
ekonomi,1,1,5,7,0,0,3,3
ekonomi,16,18,34,38,6,28,41,49
ekonomi,2,4,0,0,0,0,0,0
ekonomi,131,135,65,74,15,125,19,20
ekonomi,5,5,0,0,0,0,0,0
ekonomi,26,26,7,8,1,15,0,0
ekonomi,4,4,3,3,1,7,0,0
ekonomi,7,7,0,0,0,0,0,0
ekonomi,4,7,2,1,6,7,1,1
ekonomi,2,2,1,1,2,3,1,1
ekonomi,32,29,2,35,3,17,8,5
ekonomi,4,4,20,16,0,1,1,1
ekonomi,3,4,2,2,3,4,0,0
