"","x","y","size","Color"
"dış_ politika - güvenlik",0.940163592390343,-0.728347912884925,2145,1
"ekonomi",-0.904313088470933,0.907669654786388,5899,2
"genç",0.185603760891333,-0.876573527647038,3517,3
"kürt sorunu",1.11902049510893,0.00283217339742215,2849,4
"sosyal kavramlar",-0.546828427818426,-2.41856416320669,1120,5
"soyut kavramlar",0.789826899928551,0.96845866469373,3141,6
"türkiye coğrafyası",-2.84686222372184,-1.2503971294439,840,7
"AKP1",-1.05842325627966,0.391683774088034,3823,2
"AKP2",-1.00273833654162,0.443168883884544,4094,2
"CHP1",0.107197798770838,-1.41310053068231,2897,3
"CHP2",0.425248207771886,-1.34798613448908,3327,3
"MHP1",-0.210865947387748,0.84241224263602,556,8
"MHP2",1.19802999362517,1.3509190428597,3097,9
"HDP1",2.41575439555078,0.255932072867634,978,10
"HDP2",0.636731834782327,0.492939888989512,739,6
