,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
polis,6,7,7,7,1,3,1,1
azerbaycan,5,5,2,2,0,1,1,1
isedak,11,12,0,0,0,0,0,0
ab,62,68,70,72,2,17,4,2
aihm,6,6,2,1,0,0,1,1
orta_asya,6,5,7,5,0,5,0,0
batı_dünyası,0,0,3,3,0,1,0,0
ihanet,0,0,0,0,0,11,0,0
ermenistan,3,3,2,2,1,1,2,2
savaş,6,7,9,12,2,7,27,10
çin,3,3,6,6,1,1,0,0
silvan,5,5,0,0,0,0,0,0
terör,21,28,27,32,18,101,1,1
avrupa,57,58,23,31,1,8,7,5
libya,1,1,6,7,0,0,0,0
bölücü,0,0,0,0,3,22,0,0
balkan,10,10,10,8,1,3,0,0
şehit,1,1,2,12,3,12,0,0
g-20,7,7,0,0,0,0,0,0
kore,1,1,2,2,0,0,0,0
barış,29,29,59,65,8,46,23,8
filistin,4,4,0,0,0,2,3,3
kafkasya,7,6,7,6,2,5,0,0
ortadoğu,6,6,1,2,0,6,2,2
yunanistan,3,3,5,4,1,3,1,0
çözüm_süreci,23,30,0,2,0,4,3,2
asker,22,22,9,18,2,17,3,4
güneydoğu,4,4,3,5,0,1,0,0
türk_dünyası,1,1,0,0,3,18,0,0
özyönetim,0,0,0,0,0,0,17,2
mülteci,2,2,0,18,0,3,6,1
iran,0,0,5,5,0,3,0,0
milli_birlik,6,6,0,0,1,10,0,0
afrika,8,8,6,5,2,3,0,0
oecd,4,4,4,4,0,2,0,0
kürt,2,2,7,16,0,0,6,7
kıbrıs,4,4,14,13,3,17,1,1
göç,8,10,5,5,3,14,12,11
suriye,11,14,21,40,3,8,6,1
kuzey_afrika,5,5,2,2,1,1,0,0
rusya,5,5,15,14,3,8,0,0
