,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
kamu-özel_işbirliği,3,8,0,0,0,1,0,0
internet,22,23,25,27,2,9,5,5
ssk,12,12,0,0,0,0,0,0
yüksek_hızlı_tren,11,10,1,1,0,0,0,0
bölgesel_gelişmişlik,3,3,1,1,0,2,0,0
raylı_sistem,15,14,3,3,0,0,0,0
para_politikası,8,8,5,4,1,8,0,0
yolsuzlukla_mücadele,9,9,2,2,3,12,0,0
sendika,9,9,32,33,1,7,17,17
hızlı_tren_projesi,4,7,0,0,0,0,0,0
aile_sigortası,0,0,39,39,0,0,0,0
kira_yardımı,0,0,1,1,2,3,0,0
kooperatif,4,4,12,22,0,3,6,6
avm,1,1,1,1,1,2,1,1
toplu_iş_sözleşmesi,4,4,6,6,0,0,0,0
dünya_bankası,8,8,0,0,0,0,0,0
emek,35,46,43,46,16,44,35,37
organize_sanayi,1,2,2,2,0,2,0,0
gap,20,21,8,9,1,1,0,0
doğalgaz,5,6,1,1,0,0,0,0
ceyhan,3,3,0,0,2,3,0,0
hayvancılık,4,4,0,1,2,13,1,1
işkur,8,8,1,7,0,0,0,0
metro,14,16,1,1,0,1,0,0
kentsel_dönüşüm,24,25,19,18,0,4,3,2
mali_piyasalar,6,6,0,0,0,3,0,0
yerli_marka_otomobil,3,3,0,0,0,0,0,0
kâr,1,1,5,7,0,0,3,3
işçi,16,18,34,38,6,28,41,49
yavuz_sultan_selim,2,4,0,0,0,0,0,0
istihdam,131,135,65,74,15,125,19,20
müteahhitlik,5,5,0,0,0,0,0,0
enflasyon,26,26,7,8,1,15,0,0
tarım_sektörü,4,4,3,3,1,7,0,0
g-20,7,7,0,0,0,0,0,0
kdv,4,7,2,1,6,7,1,1
mazot,2,2,1,1,2,3,1,1
orman,32,29,2,35,3,17,8,5
sosyal_devlet,4,4,20,16,0,1,1,1
kredi_garanti_fonu,3,4,2,2,3,4,0,0
refah,37,41,30,32,4,31,2,2
sgk,14,14,0,0,0,0,0,0
çalışma_koşulları,1,1,9,13,0,0,6,6
tüketici,9,9,28,24,2,15,1,1
savunma_sanayii,10,13,0,0,1,1,0,0
bölgesel_kalkınma,3,4,8,7,2,6,0,0
nükleer,6,6,6,7,0,7,4,3
uçak,13,12,1,1,0,0,0,0
osb,16,16,5,5,3,3,0,0
esnaf,10,13,25,24,15,48,3,3
sosyal_yardım,27,27,11,13,1,12,6,6
kalkınma_ajansları,8,8,7,6,0,0,0,0
madencilik,6,6,1,1,0,3,1,1
istikrar,90,102,27,36,10,48,0,0
kırsal_kalkınma,16,18,3,4,1,7,0,0
bilgisayar,8,8,0,1,3,12,0,0
kış_turizmi,6,6,1,1,1,1,0,0
demir_yolu,1,1,22,22,1,1,0,0
borsa,9,9,0,0,2,11,0,0
alternatif_turizm,1,1,1,1,1,4,0,0
jeotermal,6,6,1,1,2,3,0,0
mülteci,2,2,0,18,0,3,6,1
işsiz,11,12,22,33,3,20,14,16
uluslararası_rekabet,3,3,2,4,1,12,0,0
finans,96,99,33,24,11,67,4,4
ithalat,14,14,4,6,2,18,1,1
yid,6,6,0,0,0,0,0,0
oecd,4,4,4,4,0,2,0,0
ar-ge,46,53,31,29,14,41,0,0
asgari_ücret,10,12,13,12,10,16,2,5
bilimsel_araştırma,1,1,6,6,1,4,0,0
şeffaflık,10,10,15,9,0,7,0,0
insan_kaynakları,5,5,4,2,1,6,0,0
toki,2,3,8,7,0,2,0,0
kayıt_dışı,27,27,10,12,0,0,1,1
işgücü_piyasası,13,13,0,0,2,11,0,0
ihracat,63,64,5,5,9,47,0,0
göç,8,10,5,5,3,14,12,11
teknoloji_transferi,3,3,1,1,0,5,0,0
yaşam_kalitesi,8,9,10,7,0,5,0,0
helikopter,8,6,0,0,0,1,0,0
bağ-kur,12,12,0,0,0,1,0,0
küresel_rekabet,2,2,5,3,0,1,0,0
ekoturizm,3,3,0,0,0,1,0,0
katma_değerli_üretim,1,1,5,8,0,1,0,0
gsyh,30,28,3,4,3,8,1,1
özel_sektör,59,61,15,15,4,39,1,1
hes,38,48,26,33,6,39,6,5
kobi,40,41,23,17,9,33,2,2
