,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
demokratik_ilkeler,0,0,4,4,0,1,1,1
internet,22,23,25,27,2,9,5,5
öğretmen,14,19,36,43,4,22,4,4
yükseköğretim,23,23,14,13,3,14,0,0
yabancı_öğrenci,5,5,0,0,0,0,0,0
toplumsal_cinsiyet_eşitliği,0,0,1,1,1,4,3,2
yükseköğrenim,6,7,2,2,1,2,0,0
metro,14,16,1,1,0,1,0,0
özgürlük,31,35,39,42,2,9,27,17
mesleki_eğitim,6,6,20,23,4,17,1,1
ortaöğretim,13,13,16,15,2,8,0,0
terör,21,28,27,32,18,101,1,1
olimpik,6,6,4,4,0,0,0,0
kız_çocukları,9,9,6,7,0,1,0,0
istihdam,131,135,65,74,15,125,19,20
enflasyon,26,26,7,8,1,15,0,0
ekolojik,2,2,12,12,1,3,12,10
sosyal_devlet,4,4,20,16,0,1,1,1
barış,29,29,59,65,8,46,23,8
çalışma_koşulları,1,1,9,13,0,0,6,6
olimpiyat,7,5,3,3,0,1,0,0
demokrasi,52,56,65,85,1,39,21,14
bilgisayar,8,8,0,1,3,12,0,0
atletizm,3,3,0,0,0,0,0,0
çocuk_bakım_hizmetleri,2,2,0,0,0,0,1,1
futbol,2,2,1,1,0,0,1,1
uyuşturucu_madde,2,2,0,0,1,1,2,2
ilköğretim,5,5,8,7,2,8,0,0
işsiz,11,12,22,33,3,20,14,16
tiyatro,8,9,3,3,1,2,0,0
öğrenci,85,92,61,67,5,31,8,9
ar-ge,46,53,31,29,14,41,0,0
bilimsel_araştırma,1,1,6,6,1,4,0,0
kadın-erkek_fırsat_eşitliği,2,3,1,1,0,0,0,0
e-devlet,21,22,3,3,0,3,0,0
okul_öncesi_eğitim,6,6,11,10,2,6,0,0
teknoloji_transferi,3,3,1,1,0,5,0,0
organik,4,4,6,6,0,2,0,0
yaşam_kalitesi,8,9,10,7,0,5,0,0
ekoturizm,3,3,0,0,0,1,0,0
