,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
demokratik_ilkeler,0,0,4,4,0,1,1,1
sosyal_refah,4,4,1,1,0,10,0,0
eşit_yurttaşlık,0,0,2,5,0,0,6,2
ihanet,0,0,0,0,0,11,0,0
savaş,6,7,9,12,2,7,27,10
özgürlük,31,35,39,42,2,9,27,17
terör,21,28,27,32,18,101,1,1
sosyal_diyalog,3,3,2,2,0,0,0,0
kan,146,154,48,57,5,57,8,5
bölücü,0,0,0,0,3,22,0,0
şehit,1,1,2,12,3,12,0,0
barış,29,29,59,65,8,46,23,8
ırkçılık,1,1,0,0,0,0,2,2
yasal_güvence,0,0,11,12,0,0,1,1
bölgesel_kalkınma,3,4,8,7,2,6,0,0
demokrasi,52,56,65,85,1,39,21,14
hak_ve_hürriyetler,8,9,1,1,1,5,0,0
ortadoğu,6,6,1,2,0,6,2,2
çözüm_süreci,23,30,0,2,0,4,3,2
kırsal_kalkınma,16,18,3,4,1,7,0,0
asker,22,22,9,18,2,17,3,4
doğu_anadolu,6,6,1,2,0,0,0,0
güneydoğu,4,4,3,5,0,1,0,0
kimlik,16,18,9,10,0,20,10,8
türk_dünyası,1,1,0,0,3,18,0,0
soydaş,8,8,0,0,1,5,0,0
özyönetim,0,0,0,0,0,0,17,2
milli_birlik,6,6,0,0,1,10,0,0
gazi,12,12,2,11,6,15,0,0
kürt,2,2,7,16,0,0,6,7
başkanlık_sistemi,9,9,1,1,0,0,5,4
sivil_toplum,24,29,15,17,2,28,2,1
göç,8,10,5,5,3,14,12,11
hoşgörü,1,1,9,8,0,3,0,0
millî_kültür,1,1,0,0,2,8,0,0
suriye,11,14,21,40,3,8,6,1
yaşam_kalitesi,8,9,10,7,0,5,0,0
özerk,6,4,33,37,1,8,11,14
