,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
sağlık_sigortası,11,14,2,4,1,2,0,0
ssk,12,12,0,0,0,0,0,0
sosyal_güvenlik_sistemi,5,5,1,1,0,5,1,1
gss,2,3,3,4,0,0,0,0
yolsuzlukla_mücadele,9,9,2,2,3,12,0,0
sendika,9,9,32,33,1,7,17,17
aile_sigortası,0,0,39,39,0,0,0,0
kira_yardımı,0,0,1,1,2,3,0,0
toplu_iş_sözleşmesi,4,4,6,6,0,0,0,0
toplumsal_cinsiyet_eşitliği,0,0,1,1,1,4,3,2
yeni_türkiye,31,29,0,0,0,0,0,0
işkur,8,8,1,7,0,0,0,0
bireysel_emeklilik,6,6,1,1,0,1,0,0
mesleki_eğitim,6,6,20,23,4,17,1,1
sosyal_devlet,4,4,20,16,0,1,1,1
çalışma_koşulları,1,1,9,13,0,0,6,6
yaşam_boyu_öğrenme,0,0,3,4,0,1,0,0
sağlık_hizmeti,6,7,4,4,0,3,2,3
yeni_anayasa,35,35,1,1,0,0,2,2
entegre_sağlık_kampüsü,14,14,0,0,0,0,0,0
çocuk_bakım_hizmetleri,2,2,0,0,0,0,1,1
asgari_ücret,10,12,13,12,10,16,2,5
başkanlık_sistemi,9,9,1,1,0,0,5,4
kıdem_tazminatı,3,3,2,2,1,2,4,5
kadın-erkek_fırsat_eşitliği,2,3,1,1,0,0,0,0
okul_öncesi_eğitim,6,6,11,10,2,6,0,0
sosyal_konut,0,0,2,2,2,3,1,1
işkence,4,4,4,5,0,1,2,1
sağlık_hizmetleri,20,20,36,30,3,13,6,6
