,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
demokratik_ilkeler,0,0,4,4,0,1,1,1
milli_devlet,0,0,0,0,2,6,0,0
sosyal_refah,4,4,1,1,0,10,0,0
hukukun_üstünlüğü,6,6,13,13,1,16,1,1
eşit_yurttaşlık,0,0,2,5,0,0,6,2
ihanet,0,0,0,0,0,11,0,0
emek,35,46,43,46,16,44,35,37
savaş,6,7,9,12,2,7,27,10
sosyal_demokrat,0,0,8,8,0,0,0,0
ahlak,13,14,4,4,2,42,1,1
yeni_türkiye,31,29,0,0,0,0,0,0
özgürlük,31,35,39,42,2,9,27,17
sosyal_diyalog,3,3,2,2,0,0,0,0
islam,10,11,0,0,2,7,1,1
refah,37,41,30,32,4,31,2,2
barış,29,29,59,65,8,46,23,8
ırkçılık,1,1,0,0,0,0,2,2
pozitif_ayrımcılık,2,3,2,2,1,1,2,2
demokrasi,52,56,65,85,1,39,21,14
diyanet,0,1,3,3,0,3,2,2
hak_ve_hürriyetler,8,9,1,1,1,5,0,0
kimlik,16,18,9,10,0,20,10,8
türk_dünyası,1,1,0,0,3,18,0,0
laiklik,0,0,8,9,0,1,2,2
yeni_anayasa,35,35,1,1,0,0,2,2
soydaş,8,8,0,0,1,5,0,0
dayanışma,6,6,27,26,0,11,9,7
özyönetim,0,0,0,0,0,0,17,2
milli_birlik,6,6,0,0,1,10,0,0
vatandaş,179,192,3,17,26,137,2,3
hukuk_devleti,5,5,14,20,3,10,0,0
ataerkil,0,0,3,3,0,0,2,2
şeffaflık,10,10,15,9,0,7,0,0
alevi,2,2,0,0,3,9,1,2
vicdan_özgürlüğü,0,0,2,1,0,7,5,5
hoşgörü,1,1,9,8,0,3,0,0
roman,4,4,0,0,0,0,0,0
millî_kültür,1,1,0,0,2,8,0,0
yaşam_kalitesi,8,9,10,7,0,5,0,0
doğa_dostu,0,0,11,8,0,0,0,0
din,42,45,28,26,4,42,14,12
