,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
kuzey_marmara,4,6,1,1,0,0,0,0
yüksek_hızlı_tren,11,10,1,1,0,0,0,0
bölgesel_gelişmişlik,3,3,1,1,0,2,0,0
van,7,8,1,1,0,0,0,0
marmara,10,10,1,1,1,1,0,0
trakya,3,4,3,3,1,1,0,0
raylı_sistem,15,14,3,3,0,0,0,0
hızlı_tren_projesi,4,7,0,0,0,0,0,0
gap,20,21,8,9,1,1,0,0
akdeniz,5,6,5,5,0,1,0,0
konya_ovası,5,5,0,0,0,0,0,0
ceyhan,3,3,0,0,2,3,0,0
silvan,5,5,0,0,0,0,0,0
metro,14,16,1,1,0,1,0,0
kentsel_dönüşüm,24,25,19,18,0,4,3,2
ege,5,7,12,17,1,13,7,5
bölgesel_kalkınma,3,4,8,7,2,6,0,0
uçak,13,12,1,1,0,0,0,0
kırsal_kalkınma,16,18,3,4,1,7,0,0
doğu_anadolu,6,6,1,2,0,0,0,0
güneydoğu,4,4,3,5,0,1,0,0
tbmm,7,8,26,37,1,1,0,0
demir_yolu,1,1,22,22,1,1,0,0
karadeniz,8,10,4,4,1,2,1,0
göç,8,10,5,5,3,14,12,11
helikopter,8,6,0,0,0,1,0,0
tekirdağ,3,3,0,0,0,0,0,0
