,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
kamu-özel_işbirliği,3,8,0,0,0,1,0,0
demokratik_ilkeler,0,0,4,4,0,1,1,1
milli_devlet,0,0,0,0,2,6,0,0
orantısız_güç,1,1,2,2,0,0,0,0
kuzey_marmara,4,6,1,1,0,0,0,0
sağlık_sigortası,11,14,2,4,1,2,0,0
internet,22,23,25,27,2,9,5,5
polis,6,7,7,7,1,3,1,1
medya,6,6,20,25,2,28,7,6
öğretmen,14,19,36,43,4,22,4,4
ssk,12,12,0,0,0,0,0,0
sosyal_refah,4,4,1,1,0,10,0,0
sosyal_güvenlik_sistemi,5,5,1,1,0,5,1,1
yüksek_hızlı_tren,11,10,1,1,0,0,0,0
azerbaycan,5,5,2,2,0,1,1,1
bölgesel_gelişmişlik,3,3,1,1,0,2,0,0
isedak,11,12,0,0,0,0,0,0
van,7,8,1,1,0,0,0,0
yükseköğretim,23,23,14,13,3,14,0,0
marmara,10,10,1,1,1,1,0,0
trakya,3,4,3,3,1,1,0,0
ab,62,68,70,72,2,17,4,2
insan_onuruna_yakışır,1,1,0,0,0,1,2,1
gss,2,3,3,4,0,0,0,0
aihm,6,6,2,1,0,0,1,1
raylı_sistem,15,14,3,3,0,0,0,0
para_politikası,8,8,5,4,1,8,0,0
imam,1,1,0,0,3,6,0,0
orta_asya,6,5,7,5,0,5,0,0
çiftçi,9,15,13,16,9,22,4,4
yolsuzlukla_mücadele,9,9,2,2,3,12,0,0
sendika,9,9,32,33,1,7,17,17
yabancı_öğrenci,5,5,0,0,0,0,0,0
hızlı_tren_projesi,4,7,0,0,0,0,0,0
aile_sigortası,0,0,39,39,0,0,0,0
hukukun_üstünlüğü,6,6,13,13,1,16,1,1
eşit_yurttaşlık,0,0,2,5,0,0,6,2
kira_yardımı,0,0,1,1,2,3,0,0
kooperatif,4,4,12,22,0,3,6,6
batı_dünyası,0,0,3,3,0,1,0,0
avm,1,1,1,1,1,2,1,1
ihanet,0,0,0,0,0,11,0,0
toplu_iş_sözleşmesi,4,4,6,6,0,0,0,0
